"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECACEN21","4285082","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1538790958","web","181.135.96.79","\N"
"ECACEN21","4285163","\\core\\event\\user_profile_viewed","core","viewed","user_profile","user","565796","r","0","155","50","119","512812","119","565796","0","1538791029","web","181.135.96.79","\N"
"ECACEN21","4285210","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1538791084","web","181.135.96.79","\N"
"ECACEN21","4376625","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1538959690","web","181.135.96.79","\N"
"ECACEN21","4376627","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1538959691","web","181.135.96.79","\N"
"ECACEN21","4376635","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1538959702","web","181.135.96.79","\N"
"ECACEN21","4376639","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1538959705","web","181.135.96.79","\N"
"ECACEN21","4497247","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539112681","web","190.29.114.169","\N"
"ECACEN21","4497248","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539112682","web","190.29.114.169","\N"
"ECACEN21","4497259","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539112688","web","190.29.114.169","\N"
"ECACEN21","4497267","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539112692","web","190.29.114.169","\N"
"ECACEN21","4497278","\\core\\event\\user_profile_viewed","core","viewed","user_profile","user","565796","r","0","155","50","119","512812","119","565796","0","1539112701","web","190.29.114.169","\N"
"ECACEN21","4497402","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","61","r","2","659","70","397","512812","119","\N","0","1539112801","web","190.29.114.169","\N"
"ECACEN21","4498148","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539113418","web","190.29.114.169","\N"
"ECACEN21","4498149","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539113419","web","190.29.114.169","\N"
"ECACEN21","4498155","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539113427","web","190.29.114.169","\N"
"ECACEN21","4498157","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539113429","web","190.29.114.169","\N"
"ECACEN21","4498345","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","174101","c","2","658","70","396","512812","119","\N","0","1539113594","web","190.29.114.169","\N"
"ECACEN21","4498346","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","174101","c","2","658","70","396","512812","119","\N","0","1539113594","web","190.29.114.169","\N"
"ECACEN21","4498351","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539113596","web","190.29.114.169","\N"
"ECACEN21","4498500","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","174101","c","2","658","70","396","512812","119","\N","0","1539113711","web","190.29.114.169","\N"
"ECACEN21","4498501","\\mod_forum\\event\\post_updated","mod_forum","updated","post","forum_posts","174101","u","2","658","70","396","512812","119","\N","0","1539113711","web","190.29.114.169","\N"
"ECACEN21","4498504","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539113714","web","190.29.114.169","\N"
"ECACEN21","4498505","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539113714","web","190.29.114.169","\N"
