"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECACEN21","4995488","\\gradereport_user\\event\\grade_report_viewed","gradereport_user","viewed","grade_report","\N","\N","r","2","155","50","119","512812","119","512812","0","1539716999","web","190.29.114.169","\N"
"ECACEN21","5289423","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539961778","web","190.29.114.169","\N"
"ECACEN21","5289424","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539961779","web","190.29.114.169","\N"
"ECACEN21","5289431","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539961785","web","190.29.114.169","\N"
"ECACEN21","5289434","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539961786","web","190.29.114.169","\N"
"ECACEN21","5296485","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539968230","web","190.29.114.169","\N"
"ECACEN21","5296486","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539968231","web","190.29.114.169","\N"
"ECACEN21","5296494","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","61","r","2","659","70","397","512812","119","\N","0","1539968237","web","190.29.114.169","\N"
"ECACEN21","5296497","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539968239","web","190.29.114.169","\N"
"ECACEN21","5296500","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539968242","web","190.29.114.169","\N"
"ECACEN21","5296502","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539968243","web","190.29.114.169","\N"
"ECACEN21","5307917","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539982415","web","190.29.114.169","\N"
"ECACEN21","5307918","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539982416","web","190.29.114.169","\N"
"ECACEN21","5307926","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539982420","web","190.29.114.169","\N"
"ECACEN21","5307928","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539982422","web","190.29.114.169","\N"
